company,education,experience,industry,jobdescription,jobid,joblocation_address,jobtitle,numberofpositions,payrate,postdate,site_name,skills,uniq_id
Infosys,,3-8 Yrs,,"Job description:Hiring Java Developer with experience range 3 to 8 YearsSkills: Java, ...",,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",Java Developer @Infosys-SH,,,2026-03-06 09:37:09 +0000,,"Java,Hibernate,Spring Mvc,J2Ee,Spring Boot,Microservices,Spring,Development",
Citiustech,,5-10 Yrs,,Availability: Immediate Joiners / Early Joiners Preferred. Key Skills Required: Azure D...,,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",Azure Devops - Lead,,,2026-03-06 09:37:09 +0000,,"Azure Pipelines,Azure Infrastructure,Terraform,Azure Devops,Kubernetes,Azure Data Factory,Jenkins,Ci Cd Pipeline",
Deloitte Consulting,,3-6 Yrs,,"In addition to living our purpose, Senior Executive across our organization must strive...",,Mumbai,T&T | EAD | Engineering | Senior Consultant,,,2026-03-06 09:37:09 +0000,,"Data migration,GCP,Analytical,MySQL,Agile,Data processing,Workflow,Stakeholder management",
Citiustech,,5-10 Yrs,,"Proficiency in shell scripting, especially Bash or Python or PowerShell . Strong experi...",,"Hybrid - Pune, Chennai, Mumbai (All Areas)",Aws Devops Consultant,,,2026-03-06 09:37:09 +0000,,"Aws Cloudformation,Aws Devops,Terraform,Github,Kubernetes,Scripting,Devops,AWS",
Tata Consultancy Services,,7-12 Yrs,,"Role : XSOAR DeveloperExperience : 7-12 YearsLocation: Mumbai, Pune, Hyderabad, Bangalo...",,"Pune, Mumbai (All Areas)",SOAR Engineer,,,2026-03-06 09:37:09 +0000,,"FortiSOAR,SOAR,Log Management,SIEM,XSOAR,Management",
Persistent,,6-11 Yrs,,About Position: We are seeking Sr. Data Engineer with hands-on experience in azure data...,,"Mumbai, Pune, Bengaluru",Senior Data Engineer,,,2026-03-06 09:37:09 +0000,,"Pyspark,Azure Data Bricks,DLT,Azure Databricks,Data,Microsoft Azure,Data Engineering,Data Bricks",
Capgemini,,0-4 Yrs,,Goethe certificate- B2 / C1 certification OR BA / MA in German language (mandatory)Basi...,,Navi Mumbai,German Language Expert-Account,,,2026-03-06 09:37:09 +0000,,"ticketing,cloud,r,servicenow,itsm,generative ai,design,ai",
Accenture,,12-20 Yrs,,A 15 years full time education is requiredQualification 15 years full time educationEdu...,,Mumbai,Custom Software Engineer,,,2026-03-06 09:37:09 +0000,,"software engineer,front end,kubernetes,python,predictive analytics,ai,react,microservices",
REBEL FOODS,,1-3 Yrs,,ABOUT THE ROLE & KEY JOB RESPONSIBILITIESThe Program Manager will work like an entrepre...,,Mumbai,"project manager, ceo office",,,2026-03-06 09:37:09 +0000,,"Analytics,Customer Segmentation,Campaign Analytics,Customer Analytics,Project,Office,Segmentation,Management",
Accenture,,2-5 Yrs,,About The Role  Job Title: Junior Data Scientist / AI Engineer (Entry-Level) for Public...,,Mumbai,S&C Global Network - AI - Public Services- Analyst,,,2026-03-06 09:37:09 +0000,,"ai,python,c,data management,power bi,numpy,machine learning,artificial intelligence",
Hiring Client,,3-6 Yrs,,Required Skills & Experience  About the Role We are looking for dynamic Sales Executive...,,"Bengaluru, Mumbai (All Areas)",Sales Manager (Analytics & AI Services),,,2026-03-06 09:37:09 +0000,,"Business Intelligence,Data Engineering,AI Services,Sales,qlik sense,BFSI account,BI,Enterprise Business",
Tata Consultancy Services,,3-5 Yrs,,Role** Quant Analytics Sr. Associate- Model RiskLocation of Requirement Chennai/Bangalo...,,"Mumbai, Hyderabad, Chennai",Quant Analytics Sr. Associate- Model Risk,,,2026-03-06 09:37:09 +0000,,"FRM,Monte Carlo,Validation report,Liquidity Risk,Market Risk,Risk,Analytics,SR",
Capgemini,,6-10 Yrs,,Greetings from Capgemini!We are excited to invite experienced professionals for Azure D...,,"Bengaluru, Mumbai (All Areas)",Consultant_ Senior Consultant_ Manager,,,2026-03-06 09:37:09 +0000,,"Azure Devops,Azure Pass service,Azure APIM,Ci/Cd,Cd,Microsoft Azure,Management,Senior",
Kantar,,3-8 Yrs,,"Qualified accountant with 5+ years of experience (ACA, ICWAI, MBA (Fin), CA Inter, MCom...",,"Hybrid - Bengaluru, Mumbai (All Areas)",FP&A Manager,,,2026-03-06 09:37:09 +0000,,"Financial Planning And Analysis,Financial Planning,Budgeting,Forecasting,Planning,Financial analysis,Finance",
Capgemini,,6-11 Yrs,,Must Have,,"Hybrid - Bengaluru, Mumbai (All Areas)",Consultant / Senior Consultant/ Manager,,,2026-03-06 09:37:09 +0000,,"Azure,.net,Angular,Microsoft Azure,Consulting,Management,Senior",
Capgemini,,5-10 Yrs,,Greetings from Capgemini!We are excited to invite experienced professionals for Azure D...,,"Hybrid - Bengaluru, Mumbai (All Areas)",Consultant _ Senior Consultant _ Manager,,,2026-03-06 09:37:09 +0000,,"Azure Cloud,Azure.net,Angular,Microsoft Azure,Consulting,Management,Senior,Cloud",
Hexaware Technologies,,8-13 Yrs,,We are looking for the Immediate joiner only. Experience Required:- 5 years to 14 Years...,,"Chennai, Bengaluru, Mumbai (All Areas)",Python+React+Fast API+AWS,,,2026-03-06 09:37:09 +0000,,"Fast api,React.Js,AWS,Python,API",
Capgemini,,14 Mar,,Required Skills Experience Range : 5 to 13 years,,"Hybrid - Bengaluru, Mumbai (All Areas)",Face To Face Drive - Java Backend and Full stack (Mumbai/BNG),,,2026-03-06 09:37:09 +0000,,"java,Full Stack,Spring Boot,Microservices,Java Fullstack,React.Js,AWS,Angular",
Hexaware Technologies,,6-9 Yrs,,Experience building and maintaining component libraries or design systems.,,"Chennai, Bengaluru, Mumbai (All Areas)",Application Front end Developer /Lead,,,2026-03-06 09:37:09 +0000,,"Javascript,React.Js,Angular,CSS,GIT,Typescript,HTML,Ci/Cd",
Hexaware Technologies,,5-10 Yrs,,MEARN Full Stack EngineerLocations: Bangalore / Chennai / Pune / Mumbai / Noida / Hyder...,,"India, Bengaluru, Mumbai (All Areas)",MEARN Full Stack Engineer,,,2026-03-06 09:37:09 +0000,,"Vue.Js,Azure Cloud,Javascript,Node.Js,Nextjs,Nuxtjs,Microsoft Azure,Cloud",
Genpact,,8-13 Yrs,,"Exp- 7-15 years . Location- Mumbai, Bangalore . NP- max 30 days . Mode-Hybrid, 12-10 PM...",,"Hybrid - Bengaluru, Mumbai (All Areas)",ML Engineer/Data Scientist,,,2026-03-06 09:37:09 +0000,,"Snowflake,Machine Learning,Data Bricks,Unity Catalog,Python,Data Science,Catalog,Ml",
BDO India,,0-1 Yrs,,"Preparing deliverables capturing implications arrived based on above research, in word,...",,"Mumbai, Bengaluru",CA Fresher - M&A Tax and Regulatory Advisory,,,2026-03-06 09:37:09 +0000,,"Taxation,Advisory,Ca,Regulatory,M",
Accenture,,8-13 Yrs,,"Bachelors or Masters degree in Computer Science, Engineering, Data Science, Business An...",,Mumbai,S&C Global Network - AI - Public Services- Manager,,,2026-03-06 09:37:09 +0000,,"ai,project management,c,data pipelines,stakeholder communication,business development,data engineering,sales",
Hexaware Technologies,,9-14 Yrs,,"JD: • Mainframe skills - Mandatory: COBOL, JCL and DFSORT, DB2 • Having knowledge in an...",,"Hybrid - Chennai, Bengaluru, Mumbai (All Areas)",Mainframe Architect,,,2026-03-06 09:37:09 +0000,,"Mainframes,Modernization,VSAM,IDMS,SAS,Data Structures,Datacom,DFSORT",
Accenture,,5-10 Yrs,,About The Role  Job Title:Consultant Data AI Department:Public Service Data AI Growth N...,,Mumbai,S&C Global Network - AI - Public Services- Consultant,,,2026-03-06 09:37:09 +0000,,"ai,risk mitigation,sql,tensorflow,data science,spark,gcp,devops",
Capgemini,,6-11 Yrs,,"Preferred candidate profile . Strong programming experience in Java 8+, Spring Boot, JP...",,"Hybrid - Bangalore Rural, Bengaluru, Mumbai (All Areas)",Java Aws Developer,,,2026-03-06 09:37:09 +0000,,"Spring Boot,AWS,Microservices,Java,Boot,Spring,Development",
Accenture,,8-10 Yrs,,"About The Role  Job Title:Senior Manager Data AI  Location:Mumbai, Gurgaon, Bangalore D...",,Mumbai,S&C Global Network - AI - Public Services- Senior Manager,,,2026-03-06 09:37:09 +0000,,"ai,mlops,c,generative ai,business development,data engineering,sales,analytics",
Accenture,,3-8 Yrs,,"Experience :Minimum 3+ years of experience in Data Science, Machine Learning, or relate...",,Mumbai,S&C Global Network - AI - FS Banking & Capital-Consultant,,,2026-03-06 09:37:09 +0000,,"ai,kubernetes,python,c,data analysis,batch processing,machine learning,banking",
Tata Consultancy Services,,12-15 Yrs,,"AWS Blu Age L3 certification Technical Proficiency: Exposure to various technologies, s...",,"Hyderabad, Pune, Bengaluru",AWS Modernization Architect,,,2026-03-06 09:37:09 +0000,,"Modernization,AWS,Ci/Cd,Refactoring,Continuous Integration,Cd,Architecture,Continuous Integration",
Tata Consultancy Services,,5-10 Yrs,,Experience in developing custom AEM components and Templates Strong AEM experience with...,,"Hyderabad, Pune, Bengaluru",Aem Developer,,,2026-03-06 09:37:09 +0000,,"Aem,Java,HTML,Adobe Experience Management,Management,Development,Adobe",
EY,,3-8 Yrs,,"Hello, Currently we are Hiring for Python Developer Position Overview:Exp-1-13 yrsLocat...",,"Hybrid - Hyderabad, Pune, Bengaluru",Python Developer,,,2026-03-06 09:37:09 +0000,,"Al,AWS,Python,Azure,Django,Mean,Langchain,Machine Learning",
Infosys,,5-10 Yrs,,Educational Requirements Bachelor of Engineering Service Line Infosys Quality Engineering.,,"Hyderabad, Pune, Bengaluru",Performance Tester,,,2026-03-06 09:37:09 +0000,,"Performance Testing,Load Runner,JMeter,Runner,Software testing,Performance,Load",
Wipro,,6-9 Yrs,,"Good Working knowledge and Web Framework experience with Spring MVC, Spring Cloud, JPA,...",,"Hybrid - Hyderabad, Pune, Bengaluru",FSD (Java 8+ React JC) Developer (Pune/HYD/Chennai/Bangalore),,,2026-03-06 09:37:09 +0000,,"SQL,Linux,Cloud,Java,FSD,Development,React.js",
Tech Mahindra,,7-12 Yrs,,Location: Bangalore / Hyderabad/Pune / Any Location . We are looking for immediate join...,,"Hybrid - Hyderabad, Pune, Bengaluru",AI Tech Lead,,,2026-03-06 09:37:09 +0000,,"Langchain,AI,RAG,Data Science,Langgraph,LLM,Machine Learning,Science",
Infosys,,9-14 Yrs,,"You will create requirement specifications from the business needs, define the to-be-pr...",,"Hybrid - Hyderabad, Pune, Bengaluru",Java Architect- Bangalore (Pan India Infosys),,,2026-03-06 09:37:09 +0000,,"Java,Hibernate,Rest,Spring Boot,Spring,Microservices,Architecture,Boot",
Infosys,,5-10 Yrs,,"You will create requirement specifications from the business needs, define the to-be-pr...",,"Hybrid - Hyderabad, Pune, Bengaluru",Java Developer- Bangalore 5 To 12 (Pan India Infosys),,,2026-03-06 09:37:09 +0000,,"Java,Spring Boot,Hibernate,Spring Mvc,Microservices,Pan,Java Development,MVC",
PwC Service Delivery Center,,6-10 Yrs,,Preferred candidate profile -Must be form SAP Background. SAP ABAP CRM. SAP CRM ABAPRol...,,"Hyderabad, Pune, Bengaluru",Sap Abap Crm Consultant,,,2026-03-06 09:37:09 +0000,,"SAP ABAP CRM,SAP CRM ABAP,Crm Abap,Abap,SAP,Consulting,SAP ABAP,CRM",
Infosys,,5-8 Yrs,,"and build POCs You will create requirement specifications from the business needs, defi...",,"Hyderabad, Pune, Bengaluru",Java Developer Infosys PUNE-Bangalore,,,2026-03-06 09:37:09 +0000,,"Java,Spring Boot,Hibernate,Microservices,Boot,Development,Spring",
Infosys,,5-10 Yrs,,"You will create requirement specifications from the business needs, define the to-be-pr...",,"Hybrid - Hyderabad, Pune, Bengaluru",Java Lead- Bangalore (Pan India Infosys)-R,,,2026-03-06 09:37:09 +0000,,"Java,Spring Boot,Microservices,Hibernate,Rest,Spring,R,Pan",
Infosys,,5-10 Yrs,,"You will create requirement specifications from the business needs, define the to-be-pr...",,"Hybrid - Hyderabad, Pune, Bengaluru",Java Full Stack Developer- Bangalore( Pan India Infosys),,,2026-03-06 09:37:09 +0000,,"Java Fullstack,React.Js,Angular,Java,Development,Stack,Full Stack,Pan",
Infosys,,5-10 Yrs,,"You will create requirement specifications from the business needs, define the to-be-pr...",,"Hybrid - Hyderabad, Pune, Bengaluru",Java Lead- Bangalore (Pan India Infosys),,,2026-03-06 09:37:09 +0000,,"Java,Hibernate,Rest,Spring Boot,Spring,Microservices,Boot,Pan",
Infosys,,5-8 Yrs,,"and build POCs You will create requirement specifications from the business needs, defi...",,"Hybrid - Hyderabad, Pune, Bengaluru",java developer (5-9years) Infosys (Pune-Bangalore),,,2026-03-06 09:37:09 +0000,,"Java,Spring Boot,Hibernate,Microservices,Boot,Java Development,Spring,Development",
Capgemini,,4-9 Yrs,,We are looking for a skilled Playwright Automation SDET with 5 to 10 years of experienc...,,"Hyderabad, Pune, Bengaluru",Playwright Automation SDET,,,2026-03-06 09:37:09 +0000,,"Playwright Automation,Java,Rest Assured,Playwright,CI/CD,Selenium,API Automation,SQL",
Infosys,,5-10 Yrs,,"You will create requirement specifications from the business needs, define the to-be-pr...",,"Hybrid - Hyderabad, Pune, Bengaluru",Java Developer 5-15 Years- Bangalore (Pan India Infosys),,,2026-03-06 09:37:09 +0000,,"Java,Hibernate,Rest,Spring Mvc,Spring Boot,J2Ee,Spring,Microservices",
Infosys,,5-10 Yrs,,"and build POCs You will create requirement specifications from the business needs, defi...",,"Hybrid - Hyderabad, Pune, Bengaluru",.NET Core Software Developer(5-8years)/Bangalore/Pan India-R,,,2026-03-06 09:37:09 +0000,,"C#,.Net,ASP.Net,DoT,ASP,Core,Development,Software development",
Infosys,,5-9 Yrs,,"You will create requirement specifications from the business needs, define the to-be-pr...",,"Hybrid - Hyderabad, Pune, Bengaluru",Dot Net Fullstack Developer- Bangalore (Pan India Infosys),,,2026-03-06 09:37:09 +0000,,".Net,Net Fullstack,C#,ASP.Net,React.Js,Angular,Full Stack,Development",
EY,,2-7 Yrs,,"Hello, Currently we are Hiring for Python Angular Developer Position Overview:Exp-1-7 y...",,"Hybrid - Hyderabad, Pune, Bengaluru",Python Angular Developer,,,2026-03-06 09:37:09 +0000,,"Django,Fast Api,Python Development,Angular,Python,CSS,Typescript,Javascript",
Infosys,,5-10 Yrs,,"You will create requirement specifications from the business needs, define the to-be-pr...",,"Hybrid - Hyderabad, Pune, Bengaluru",Java Spring Boot Developer- Bangalore (Pan India Infosys),,,2026-03-06 09:37:09 +0000,,"Java,Spring Boot,Microservices,Java Spring Boot,Boot,Pan,Development,Spring",
Tech Mahindra,,4-9 Yrs,,This is a full time opportunity with long term engagementSuccess in this role requires ...,,"Hybrid - Noida, Pune, Bengaluru",Talent Acquisition Executive,,,2026-03-06 09:37:09 +0000,,"End To End Recruitment,Negotiation,Bulk Hiring,Talent Sourcing,Talent Acquisition,End To End,Bulk,End",
Acuity Knowledge Partners,,2-6 Yrs,,Experience - 2 to 6 Years. Key responsibilities Good client relationship management ski...,,"Pune, Gurugram, Bengaluru",Equity Research - Associate/ Sr. Associate,,,2026-03-06 09:37:09 +0000,,"Equity Research,Financial Modelling,Investment Research,Valuation,DCF,Presentation Preparation,Sell Side,Equity Research Analysis",
Tata Consultancy Services,,6-11 Yrs,,Minimum bachelors degree holder following regular schooling and curriculum6+ years of R...,,"Pune, Chennai, Bengaluru",Business Analyst,,,2026-03-06 09:37:09 +0000,,"Reinsurance,Business Analysis,Financial Services,Insurance,Agile,Scrum,Finance,Analysis",
Tata Consultancy Services,,6-11 Yrs,,"Hiring for Java Full stack Developer, Interested candidates can share updated resume wi...",,"Hyderabad, Pune, Bengaluru",Java Full Stack Developer,,,2026-03-06 09:37:09 +0000,,"Java,Angular,Spring Boot,Java Fullstack,Microservices,Development,Bootstrap,Stack",
Tata Consultancy Services,,10-15 Yrs,,Preferred candidate profile . -Experience with SAP Billing Revenue Innovation Managemen...,,"Hyderabad, Pune, Bengaluru",SAP BRIM - Pune/Mumbai/Hyderabad/Bangalore/Kolkata/Delhi NCR Locations,,,2026-03-06 09:37:09 +0000,,"Fica,Hybris Billing,Sap Brim,Convergent Charging,S4H,Charging,Billing,SAP",
Tata Consultancy Services,,5-10 Yrs,,Engineer should be flexible while working with team and initiative They should have a s...,,"Pune, Chennai, Bengaluru",React js plus Node js,,,2026-03-06 09:37:09 +0000,,"Typescript,Node.Js,React.Js,Javascript,Node",
Tata Consultancy Services,,10-12 Yrs,,. 8-10 years of .NET 5 framework development experience requiredExcellent understanding...,,"Pune, Bengaluru, Delhi / NCR",.NET Tech Lead,,,2026-03-06 09:37:09 +0000,,"C#,.Net Core,.Net,ASP.Net,MVC,Core,Technical analysis",
Tata Consultancy Services,,4-7 Yrs,,"Experience in system integration, plugin development and data flow to Actimize. Having ...",,"Hyderabad, Pune, Chennai",Actimize Developer,,,2026-03-06 09:37:09 +0000,,"Nice Actimize,Shell Scripting,Actimize,Development,Scripting,Nice",
Tata Consultancy Services,,6-8 Yrs,,Must Have Experiences and Skills: . Azure AI / Retrieval-augmented generation (RAG) NLP...,,"Noida, Pune, Bengaluru",AI ML Lead,,,2026-03-06 09:37:09 +0000,,"Aiml,Azure Ai,Artificial Intelligence,Ci/Cd,Retrieval Augmented Generation,Machine Learning,Python,Generation",
Tata Consultancy Services,,5-10 Yrs,,Must-Have Coded Automation proficiency in Object-Oriented Code C# highly preferred Visu...,,"Pune, Chennai, Bengaluru","C#, .Net - Automation",,,2026-03-06 09:37:09 +0000,,"C#,Automation,Playwright,.net",
Tata Consultancy Services,,4-8 Yrs,,"Work experience as a Python DeveloperExperience on any of the DBs such as Teradata, Ora...",,"Hyderabad, Pune, Bengaluru","Python Fullsatck + Django (Chennai ,Bangalore, Hyderabad, Pune)",,,2026-03-06 09:37:09 +0000,,"Django,python fullstack,Python,Full Stack",
Tata Consultancy Services,,5-10 Yrs,,Greetings from Tata Consultancy ServicesTCS is Hiring for Informatica IICS with Teradat...,,"Pune, Chennai, Bengaluru",Informatica IICS,,,2026-03-06 09:37:09 +0000,,"Informatica Iics,Teradata,Oracle,Informatica,Iics",
Tata Consultancy Services,,5-10 Yrs,,TCS is Hiring For Java full stack with react jsExperience: 5 YRS- 10 YRSLocation:CHENN...,,"Pune, Chennai, Bengaluru",Java full stack with react js,,,2026-03-06 09:37:09 +0000,,"Redux,Spring Boot,Java Fullstack,React.Js,Java,Javascript,Boot,Spring",
Tata Consultancy Services,,6-10 Yrs,,Secure coding standard (OWASP) Technically sound. . Should be able to provide solutions...,,"Kolkata, Pune, Chennai","Javascript, NodeJS, ReactJS, Redux",,,2026-03-06 09:37:09 +0000,,"Redux,Javascript,Node.Js,React,React.js",
Tata Consultancy Services,,6-10 Yrs,,Role & responsibilities . Must Have-  Should have good Communication skills and analyti...,,"Pune, Bengaluru",Hyperion Developer,,,2026-03-06 09:37:09 +0000,,"Hyperion,Hyperion Planning,Essbase,DRM,Oracle Hyperion,Hyperion Essbase,Epbcs,Development",
Hexaware Technologies,,6-11 Yrs,,"Preferred candidate profileImmediate joiners to 15 daysChennai, mumbai, pune, bangalore...",,"Hybrid - Hyderabad, Pune, Bengaluru",Java AWS+Angular,,,2026-03-06 09:37:09 +0000,,"Java,AWS,Angular",
Infosys,,5-10 Yrs,,"and build POCs You will create requirement specifications from the business needs, defi...",,"Hybrid - Pune, Bengaluru, Delhi / NCR",Java Microservice Developer( Bangalore-Pune),,,2026-03-06 09:37:09 +0000,,"Java,Spring Boot,Microservices,Boot,Development,Spring",
